ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,,,,Herbert L. Clarke,,,Barnhouse,Marche,Concert Band,,False,BARBOVS320400,March,,"Boston Post 200, G. A. R.",https://www.musicshopeurope.fr/boston-post-200-g-a-r-barbovs320400?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
,,,,, Farrar,,,Barnhouse,Marche,Concert Band,,False,BARBOVS322900,March,,Althotas,https://www.musicshopeurope.fr/althotas-barbovs322900?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
,,,,, Fanciulli,,,Barnhouse,,Concert Band,,False,BARBOVS322800,,,Our National Patrol,https://www.musicshopeurope.fr/our-national-patrol-barbovs322800?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
,,,,, Fanciulli,,,Barnhouse,Marche,Concert Band,,False,BARBOVS322700,Patriotic March Song,,Old Glory,https://www.musicshopeurope.fr/old-glory-barbovs322700?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
,,,,, Apelles,,,Barnhouse,Marche,Concert Band,,False,BARBOVS322600,March,,Macedonian,https://www.musicshopeurope.fr/macedonian-barbovs322600?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
,, Schultz,,, Ellis-Paull,,,Barnhouse,Marche,Concert Band,,False,BARBOVS322500,Descriptive March - Galop,,Napoleon's Last Charge,https://www.musicshopeurope.fr/napoleon-s-last-charge-barbovs322500?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
,,,,, Elbel,,,Barnhouse,Marche,Concert Band,,False,BARBOVS322400,March,,The Victors,https://www.musicshopeurope.fr/the-victors-barbovs322400?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
,,,,, Eilenberg,,,Barnhouse,,Concert Band,,False,BARBOVS322300,,,March of the Bersaglieri,https://www.musicshopeurope.fr/march-of-the-bersaglieri-barbovs322300?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
,,,,, Duble,,,Barnhouse,Marche,Concert Band,,False,BARBOVS322200,March,,The Crimson Plume,https://www.musicshopeurope.fr/the-crimson-plume-barbovs322200?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
,, Prendiville,,,Doring,,,Barnhouse,Marche,Concert Band,,False,BARBOVS322100,Quick March,,Distant Greeting,https://www.musicshopeurope.fr/distant-greeting-barbovs322100?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d10025
