ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,,,,John Williams,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1661,,,E.T.,https://www.musicshopeurope.fr/e-t-emr1661?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,John Glenesk Mortimer,,,John Williams,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1782,,,Jurassic Park,https://www.musicshopeurope.fr/jurassic-park-emr1782?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,John Glenesk Mortimer,,,James Horner,,,Editions Marc Reift,,Orchestre d'Harmonie,4.0,True,EMR1778,,,Willow,https://www.musicshopeurope.fr/willow-emr1778?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,John Lennon,,,Editions Marc Reift,,Orchestre d'Harmonie,4.0,True,EMR1775,,,Yellow Submarine,https://www.musicshopeurope.fr/yellow-submarine-emr1775?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,Traditional,,,Editions Marc Reift,,Orchestre d'Harmonie et Chœur,3.0,True,EMR1773C,,,O Holy Night,https://www.musicshopeurope.fr/o-holy-night-emr1773c?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,Traditional,,,Editions Marc Reift,,Orchestre d'Harmonie,3.0,True,EMR1772,,,Joy To The World,https://www.musicshopeurope.fr/joy-to-the-world-emr1772?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,Henry Mancini,,,Editions Marc Reift,,Orchestre d'Harmonie,4.0,True,EMR1753,,,Peter Gunn,https://www.musicshopeurope.fr/peter-gunn-emr1753?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,,,,Editions Marc Reift,"TV, Film, Comédie musicale",Orchestre d'Harmonie,4.0,True,EMR1750,,,633 Squadron,https://www.musicshopeurope.fr/633-squadron-emr1750?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,Leonard Bernstein,,,,,,Editions Marc Reift,"TV, Film, Comédie musicale",Orchestre d'Harmonie,4.0,True,EMR1746,,,West Side Story,https://www.musicshopeurope.fr/west-side-story-emr1746?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,Jérôme Thomas,,,Bramer,,,Editions Marc Reift,,Concert Band and Alto Saxophone Solo,4.0,False,EMR1745,Solo for Male Vocal - Tenor Saxophone or Trombone & Concert Band,,Just A Gigolo,https://www.musicshopeurope.fr/just-a-gigolo-emr1745?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,Louis Prima,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1744,,,"Sing, Sing, Sing",https://www.musicshopeurope.fr/sing-sing-sing-emr1744?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,, Schneiders,,,Sidney Bechet,,,Editions Marc Reift,,Concert Band,,True,EMR1741,Solo for various Instruments,,Petite Fleur,https://www.musicshopeurope.fr/petite-fleur-emr1741?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,Nacio Herb Brown,,,Editions Marc Reift,,Orchestre d'Harmonie,3.0,True,EMR1738,,,Singin' In The Rain,https://www.musicshopeurope.fr/singin-in-the-rain-emr1738?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,Carlos Antonio Jocafi,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1728,,,Fais Comme L'Oiseau,https://www.musicshopeurope.fr/fais-comme-l-oiseau-emr1728?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,Henri Betti,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1714,,,C'est si bon,https://www.musicshopeurope.fr/c-est-si-bon-emr1714?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,Werner Thomas,,,Editions Marc Reift,,Orchestre d'Harmonie,3.0,True,EMR1711,,,La Danse des Canards,https://www.musicshopeurope.fr/la-danse-des-canards-emr1711?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,,,,Alexandre Guilmant,,,Editions Marc Reift,,Orchestre d'Harmonie,4.0,True,EMR1705L,,,Morceau Symphonique (Trombone Solo),https://www.musicshopeurope.fr/morceau-symphonique-trombone-solo-emr1705l?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35025
,,Hardy Schneiders,,,Robert B. Sherman,,,Editions Marc Reift,Disney,Orchestre d'Harmonie,4.0,True,EMR1897,,Film/TV,Mary Poppins (Overture),https://www.musicshopeurope.fr/mary-poppins-overture-emr1897?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,,,,Editions Marc Reift,"TV, Film, Comédie musicale",Orchestre d'Harmonie,4.0,True,EMR1895,,,Guajira Del Sol,https://www.musicshopeurope.fr/guajira-del-sol-emr1895?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,,,,Editions Marc Reift,,Orchestre d'Harmonie,4.0,True,EMR1888,,,The Rock,https://www.musicshopeurope.fr/the-rock-emr1888?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Jérôme Thomas,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1877,,,Tango Latino,https://www.musicshopeurope.fr/tango-latino-emr1877?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,John Glenesk Mortimer,,, Jackson,,,Editions Marc Reift,,Concert Band and Mixed Choir,,False,EMR1865,Chorus (SATB),,We are the World,https://www.musicshopeurope.fr/we-are-the-world-emr1865?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Alexander Porfiryevich Borodin,,,Editions Marc Reift,,Orchestre d'Harmonie,5.0,True,EMR1854,,,Polovtsian Dances,https://www.musicshopeurope.fr/polovtsian-dances-emr1854?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,, Tailor,,,,,,Editions Marc Reift,,Orchestre d'Harmonie,5.0,True,EMR1849,,,What A Wonderful World,https://www.musicshopeurope.fr/what-a-wonderful-world-emr1849?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Günter Noris,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1841,,,Rumba Of Love (Alto Sax Solo),https://www.musicshopeurope.fr/rumba-of-love-alto-sax-solo-emr1841?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Günter Noris,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1839,,,El Toro,https://www.musicshopeurope.fr/el-toro-emr1839?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Herman Hupfeld,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1838,,,As Time Goes By (Casablanca),https://www.musicshopeurope.fr/as-time-goes-by-casablanca-emr1838?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Burt Bacharach,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1836,,,Close To You,https://www.musicshopeurope.fr/close-to-you-emr1836?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Jimmy Webb,,,Editions Marc Reift,,Orchestre d'Harmonie,4.0,True,EMR1827,,,MacArthur Park,https://www.musicshopeurope.fr/macarthur-park-emr1827?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Michel Sardou,,,Editions Marc Reift,,Orchestre d'Harmonie,4.0,True,EMR1819,,,Les Lacs du Connemara,https://www.musicshopeurope.fr/les-lacs-du-connemara-emr1819?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Ennio Morricone,,,Editions Marc Reift,,Orchestre d'Harmonie,4.0,True,EMR1812,from the Movie: Le Professionnel,,Chi Mai,https://www.musicshopeurope.fr/chi-mai-emr1812?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Zenker,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1807,,,Samba De Janeiro,https://www.musicshopeurope.fr/samba-de-janeiro-emr1807?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,,,,Rich,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1804G,,,Benny Hill (Yackety Sax) (Alto Sax Solo),https://www.musicshopeurope.fr/benny-hill-yackety-sax-alto-sax-solo-emr1804g?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,Schneiders,,,James Rich,,00:01:37,Editions Marc Reift,"TV, Film, Comédie musicale",Concert Band and Flute Solo,3.0,True,EMR1804,,,Benny Hill,https://www.musicshopeurope.fr/benny-hill-emr1804?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35050
,,John Glenesk Mortimer,,,John Williams,,,Editions Marc Reift,,Orchestre d'Harmonie,,True,EMR1782,,,Jurassic Park,https://www.musicshopeurope.fr/jurassic-park-emr1782
,,John Glenesk Mortimer,,,Johann Strauss Sr.,,00:02:50,Editions Marc Reift,Classique,Concert Band,3.0,False,EMR42050,Op. 365,,Tik-Tak Polka,https://www.musicshopeurope.fr/tik-tak-polka-emr42050?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35075
,,Jirka Kadlec,,,,,00:02:57,Editions Marc Reift,Jazz,Concert Band,3.0,False,EMR42036,,,Celebration,https://www.musicshopeurope.fr/celebration-emr42036?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35075
,,Michal Worek,,,James Horner,,00:06:44,Editions Marc Reift,"TV, Film, Comédie musicale",Concert Band,4.0,False,EMR42034,,Film/TV,A Beautiful Mind,https://www.musicshopeurope.fr/a-beautiful-mind-emr42034?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35075
,,Michal Worek,,,Elmer Bernstein,,00:05:00,Editions Marc Reift,"TV, Film, Comédie musicale",Concert Band,4.0,False,EMR42031,,,Wild Wild West,https://www.musicshopeurope.fr/wild-wild-west-emr42031?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d35075
