ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,Darrol Barry,,,,,00:03:24,Bernaerts Music,,Orchestre d'Harmonie,3.0,True,BRN060495,,,A Jingle Bells Fantasy,https://www.musicshopeurope.fr/a-jingle-bells-fantasy-brn060495?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
,,Steve Cortland,,,Gilbert Becaud,,00:03:17,Bernaerts Music,,Orchestre d'Harmonie,3.0,True,BRN070548,,,Et maintenant (What now my love),https://www.musicshopeurope.fr/et-maintenant-what-now-my-love-brn070548?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
,,Frank Bernaerts,Elvis Presley,,,,00:03:15,Bernaerts Music,Pop & rock,Orchestre d'Harmonie,3.0,True,BRN070547,,,Can't Help Falling In Love,https://www.musicshopeurope.fr/can-t-help-falling-in-love-brn070547?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
,,Darrol Barry,,,,,,Bernaerts Music,,Concert Band,,False,BRN070546,,,Symphony of the Seas,https://www.musicshopeurope.fr/symphony-of-the-seas-brn070546?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
,,,,,Alan Robinson,,00:09:01,Bernaerts Music,,Concert Band,2.0,True,BRN070544,,,A Western Trilogy,https://www.musicshopeurope.fr/a-western-trilogy-brn070544?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
,,,,,,,00:02:39,Bernaerts Music,,Concert Band,2.0,True,BRN070536,,,Spitfire,https://www.musicshopeurope.fr/spitfire-brn070536?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
,,,,,Darrol Barry,,00:07:15,Bernaerts Music,,Concert Band,2.0,True,BRN070535,,,A Night at the Circus,https://www.musicshopeurope.fr/a-night-at-the-circus-brn070535?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
,,,,,Oliver Mann,,00:03:09,Bernaerts Music,,Concert Band,1.0,True,BRN070534,,,The Joy of Christmas,https://www.musicshopeurope.fr/the-joy-of-christmas-brn070534?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
,,Frank Bernaerts,Marco Borsato,,Marco Borsato,,00:05:21,Bernaerts Music,,Orchestre d'Harmonie,,True,BRN070528,,,Rood (Marco Borsato),https://www.musicshopeurope.fr/rood-marco-borsato-brn070528?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
,,,,,Alan Robinson,,00:06:10,Bernaerts Music,,Concert Band,2.0,True,BRN070527,,,Russian Folk Dance,https://www.musicshopeurope.fr/russian-folk-dance-brn070527?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d12525
