ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,2025,,Lady Gaga,Discovery Plus Concert Band,Carol Brittin Chambers,This arrangement perfecty captures the infectious groove and catchy melody that this Lady Gaga hit brings to the party while remaing highly accessible. Make practicing fun!,,Hal Leonard,Pop & rock,Orchestre d'Harmonie,2.0,True,HL04009640,,,Abracadabra,https://www.musicshopeurope.com/abracadabra-hl04009640?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035258118,2026,,,Concert and Contest Collection CBHA,Thierry Deleruyelle,"Impetus  représente à la fois le caractère de l'œuvre et l'état d'esprit de l'Ensemble Musical de Maillé, qui l'a commandée. Les deux chefs de l'Ensemble, Victorien Garreau et Grégoire Tapin, ont prié le compositeur Thierry Deleruyelle d'écrire une œuvre originale pour marquer le 115e anniversaire de leur orchestre. Une introduction brillante et dynamique se terminant par un grand maestoso est suivie d'une section",00:11:25,De Haske Publications,Pièce de concert,Orchestre d'Harmonie,4.0,True,DHP 1266558-010,,Concert,Impetus,https://www.musicshopeurope.com/impetus-dhp%201266558--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035258132,2026,,,Mitropa Concertwork Series,Thomas Doss,"La Danza  a été composée pour le 20e anniversaire du Südtiroler Jugendblasorchester, un orchestre de jeunes musiciens du nord de l'Italie. La danse est une forme d'expression qui accompagne l'humanité depuis ses origines ; tout comme le chant, elle est une manifestation spontanée des émotions. Ainsi, quoi de mieux qu'une danse pour célébrer un anniversaire ? Thomas Doss a tout prévu !",00:08:50,Mitropa Music,Pièce de concert,Orchestre d'Harmonie,5.0,True,2259-26-010 M,,,La Danza,https://www.musicshopeurope.com/la-danza-2259--26--010%20m?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035258576,2026,,,Concert and Contest Collection CBHA,Jacob de Haan,"Happy Harmony  est une composition joyeuse qui met la musique pour instruments à vent à l'honneur. Le mot « harmonie » peut être interprété de différentes manières. Dans des pays comme la France, la Belgique et les Pays-Bas, « harmonie » est le nom donné à un orchestre symphonique à vent. Deuxièmement, le terme fait généralement référence à un sentiment d'unité, très présent chez les musiciens d'orchestre, en raison",00:04:30,De Haske Publications,Pièce de concert,Orchestre d'Harmonie,2.5,True,DHP 1266569-010,,Musique Légère Originale,Happy Harmony,https://www.musicshopeurope.com/happy-harmony-dhp%201266569--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035258613,2026,,,Concert and Contest Collection CBHA,Jacob de Haan,"Cette œuvre charmante évoque la province néerlandaise de Drenthe, une région où la beauté de la nature s'épanouit. Dans  Beauty of Nature e, le compositeur se remémore les vacances de son enfance passées ici avec ses parents. Depuis les chants d'oiseaux jusqu’à la chanson régionale de Drenthe, en passant par une chanson pour enfants et de magnifiques passages tutti, cette composition est une œuvre joyeuse, tant pour",00:08:05,De Haske Publications,Pièce de concert,Orchestre d'Harmonie,3.0,True,DHP 1266571-010,,,Beauty of Nature,https://www.musicshopeurope.com/beauty-of-nature-dhp%201266571--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035258477,2026,,,Mitropa Concertwork Series,Marc Jeanbourquin,"Pour composer  Free Mind , un morceau léger et dynamique, Marc Jeanbourquin s’est inspiré d’un chant gospel, « Oh, Freedom », qui parle de la liberté afro-américaine de l'après-guerre civile. En ces temps de crise, le compositeur voulait évidemment garder un esprit positif et énergique, symbolisant l'espoir de jours meilleurs. Les quatre notes du thème « Oh, Freedom » sont présentes du début à la fin de l'œuvre, le",00:03:00,Mitropa Music,Ouverture,Orchestre d'Harmonie,3.5,True,2237-26-010 M,,Musique Légère Originale,Free Mind,https://www.musicshopeurope.com/free-mind-2237--26--010%20m?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035258637,2026,,,Concert and Contest Collection CBHA,Thierry Deleruyelle,"La tranquillité d'un village de montagne est bouleversée par une rumeur effrayante : une créature, animale ou quelque chose de plus inquiétant, rôderait dans les environs. Après un début calme, la musique s'intensifie avec des lignes tendues et nerveuses : la peur s'installe. Le paysage sonore devient fantastique, presque comme une nuit d'Halloween. Les villageois se rassemblent pour traquer la bête, l'orchestre",00:11:45,De Haske Publications,Pièce de concert,Orchestre d'Harmonie,3.5,True,DHP 1266572-010,The Chase Begins,Concours,Predator,https://www.musicshopeurope.com/predator-dhp%201266572--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035258590,2026,,,Applause,Thierry Deleruyelle,"Rockstar  incarne l’énergie brute et l’esprit rebelle du rock transposé à l’univers de l’orchestre d’harmonie. La pulsation constante, les contrastes dynamiques et l’intensité collective créent un souffle électrique, comme une scène illuminée par les projecteurs d’un concert endiablé où chaque pupitre devient un instrument d’énergie. Commandée par la Lyre Dainvilloise (direction : Valérie Chevalier), l’œuvre célèbre",00:04:00,De Haske Publications,Musique légère originale,Orchestre d'Harmonie,2.5,True,DHP 1266570-010,,Musique Légère Originale,Rockstar,https://www.musicshopeurope.com/rockstar-dhp%201266570--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790365227433,2026,,,Beriato Concert Works,Filip Ceunen,"Entre le XVe et le XVIIe siècle, les conquistadores – soldats, aventuriers et conquérants espagnols – ont joué un rôle important dans la colonisation de l'Amérique latine et des Philippines. Cette œuvre reflète un pan dramatique de l'histoire, avec ses rebondissements dramatiques, magnifiquement exprimés par le compositeur à travers des sons mystérieux, des mélodies envoûtantes et des passages rapides agrémentés",00:07:20,Beriato Music Publishing,Pièce de concert,Orchestre d'Harmonie,3.0,True,BMP26011768,,Concert,Conquistadores,https://www.musicshopeurope.com/conquistadores-bmp26011768?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790570711468,2026,,,Anglo Music Midway Series,Philip Sparke,"The Castle on the Hill  (Le Château sur la colline) est une commande de l'Harmonie l'Abeille de Lucens, basée dans l'ouest de la Suisse. L’œuvre a été créée par celle-ci lors de son concert de printemps le 12 avril 2025, dans la Grande Salle de Lucens. L'orchestre a une histoire prestigieuse qui remonte à 1883 et compte également un orchestre de jeunes ainsi qu'une école de musique. La marche est de forme",00:03:40,Anglo Music Press,Marche de concert,Orchestre d'Harmonie,3.5,True,AMP 546-010,Concert March,,The Castle on the Hill,https://www.musicshopeurope.com/the-castle-on-the-hill-amp%20546--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790570711383,2026,,,Elite Series,Philip Sparke,"For Whom the Bells Tolls  est une commande de l’Irish Symphonic Wind Orchestra, qui l’a créée lors du concert marquant son 10e anniversaire ; ce concert s'est tenu à l'Artane School of Music, à Dublin, le 31 août 2024. La commande a été financée par des fonds collectés pour la composition d’une pièce commémorant les amis et les membres de l'orchestre récemment décédés. C'est ce qui a inspiré le choix du titre, tiré",00:06:10,Anglo Music Press,Pièce de concert,Orchestre d'Harmonie,4.0,True,AMP 543-010,,Hymne,For Whom the Bell Tolls,https://www.musicshopeurope.com/for-whom-the-bell-tolls-amp%20543--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790570711253,2026,,,Elite Series,Philip Sparke,"Resurgence   est une commande de Nishiusuki Kyoiku Shinko Rengokai, une organisation à but non lucratif pour la promotion de l’éducation au Japon, pour célébrer son 10e anniversaire, en 2023. Elle a fondé un orchestre d’harmonie qui a créé cette composition lors de son concert d’anniversaire. L’œuvre s’ouvre avec une fanfare qui mène à un thème martial par les cuivres, mais celui-ci s’apaise rapidement pour",00:08:00,Anglo Music Press,Pièce de concert,Orchestre d'Harmonie,5.0,True,AMP 529-010,,Concours,Resurgence,https://www.musicshopeurope.com/resurgence-amp%20529--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2026,,,MusicWorks Grade 4,Jay Bocook,Open (or close) your next performance with this intensely rhythmical yet melodic work in 5/4. A dervish of woodwind lines sets the tone followed by a powerful brass statement that transitions into long melodic lines over rhythmical ostinatos. Non-stop motion and unexpected harmonic twists keep the energy flowing. A great showcase for your ensemble!,,Hal Leonard,,Orchestre d'Harmonie,4.0,False,HL04009650,,,Decade,https://www.musicshopeurope.com/decade-hl04009650?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2026,Johnnie Vinson,,Discovery Plus Concert Band,,"Everyone's favorite theme song from everyone's favorite Disney Channel show will be the highlight of your next concert. And how many opportunities are there in band to play a great ska groove? Oh, and yes, someone gets to yell, Mom! Phineas and Ferb are making a title sequence!",,Hal Leonard,,Orchestre d'Harmonie,2.0,True,HL04009636,(From Phineas and Ferb),,Today Is Gonna Be A Great Day,https://www.musicshopeurope.com/today-is-gonna-be-a-great-day-hl04009636?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035258651,2026,,,Concert and Contest Collection CBHA,Klaas Coulembier,"Tirant son nom d'un concept mathématique de Pythagore,  Tetraktys  est une œuvre festive et variée, composée pour le dixième anniversaire de l'Orchestre d’harmonie de l'Université de Gand. Une introduction mystérieuse ouvre la voie à un allegro entraînant, dans lequel toutes les sections de l'orchestre sont mises en valeur. La partie centrale lente offre un moment de calme, introduit par un thème lyrique présenté par",00:10:30,De Haske Publications,Pièce de concert,Orchestre d'Harmonie,5.0,True,DHP 1266573-010,,Concours,Tetraktys,https://www.musicshopeurope.com/tetraktys-dhp%201266573--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035031292,2007,,,Scherzando Concert Works,Kevin Houben,"Call of the Clans est un voyage musical travers les Highlands (Hautes-Terres) d'Écosse, une région de montagnes aux contours déchiquetés, de collines verdoyantes, de lacs aux eauxcristallines, de ch teaux en ruines et de villages pittoresques, jadis organisés en clans. ",00:09:30,Scherzando,Pièce de concert,Orchestre d'Harmonie,3.0,True,1516-08-010 S,,,Call of the Clans,https://www.musicshopeurope.fr/call-of-the-clans-1516--08--010%20s?returnurl=%2fsearch%3fq%3dcall%2bof%2bthe%2bclans%26substoreid%3d
