ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,1999,,,,James Swearingen,"An exciting and dynamic composition by James Swearingen that is certain to become one of his most popular and often performed pieces. Beginning with a slow expressive introduction, it soon segues into an Allegro Con Brio section which is impressive and spirited. Solidly scored in the patented Swearingen manner, this exceptional work will help inspire mid-level bands to new musical heights. Outstanding choice for",00:05:56,Barnhouse,,Concert Band,3.0,False,BAR012302200,,,Celebration for Winds and Percussion,https://www.musicshopeurope.fr/celebration-for-winds-and-percussion-bar012302200?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
,,,,,Steven Reineke,"A distinctive composition by popular composer Steven Reineke that is certain to become a popular concert or contest selection. Full of the dynamic sounds you've come to expect from this talented writer, this piece is the most accessible piece he has written to date. Outstanding music for any occasion! DON'T MISS THIS ONE!",,Barnhouse,,Concert Band,3.5,False,BAR012331300,,,Where Eagles Soar,https://www.musicshopeurope.fr/where-eagles-soar-bar012331300?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
,2003,,,,James Swearingen,"The holiday season magically comes alive with this creative setting of two all-time favorite carols. Arranged on the easier side, the accessibility of this piece will allow your students the opportunity to quickly achieve a high level of musical performance. Tuneful melodies, beautiful harmonies, tasteful percussion make this the perfect choice for that special concert. Highly recommended!",00:02:54,Barnhouse,,Concert Band,3.0,False,BAR012331200,,,On A Cold Winter's Night,https://www.musicshopeurope.fr/on-a-cold-winter-s-night-bar012331200?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
,,Andrew Glover,,,Charles Gounod,"Here's a thrilling tour-de-force showpiece for mature bands! This stunning work from the French ballet suite has been skillfully arranged for concert band by Andrew Glover to retain the excitement and color of the original orchestral work. Fast-paced dance segments are interspersed with beautiful lyric sections, culminating with a hair-raising presto that will electrify performers and audiences. Excellent for",,Barnhouse,,Concert Band,3.5,False,BAR012330900,,,Festive Dance from Faust,https://www.musicshopeurope.fr/festive-dance-from-faust-bar012330900?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
,2003,,,,Ed Huckeby,"Ed Huckeby has created a fresh, new sound in this outstanding contribution to the concert march repertoire. Incorporating creative melodic and rhythmic ideas, this march opens the door to new opportunities for teaching the traditional march style in a contemporary setting. Excellent obbligato and contrapuntal writing provides each section of the band with an opportunity to shine. Your audiences will love it!",00:03:35,Barnhouse,Marche,Concert Band,3.5,False,BAR012327500,Concert March,,Spirit of Unity,https://www.musicshopeurope.fr/spirit-of-unity-bar012327500?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
,,,,,James Swearingen,"This magnificent work based on the well-known hymn ""It Is Well With My Soul"", is respectfully dedicated to the heroes of United Flight 93 who tragically lost their lives in a Pennsylvania field on September 11, 2001. Reflective, intense, somber and inspiring are but a few of the words that best describe the emotional make-up of this stunning composition. Commissioned by the Somerset County (PA) Community Band and",,Barnhouse,,Concert Band,3.5,False,BAR012326200,,,Flight of Valor,https://www.musicshopeurope.fr/flight-of-valor-bar012326200?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
,2003,,,,David Shaffer,"Dedicated to the many heroes who lost their lives on September 11, 2001, this David Shaffer composition features an uplifting tone designed as a tribute to the fallen. Full of energy and dynamic contrasts, it includes a host of effective percussion parts that will keep the drummers involved and interested. Also has a unique section where a large part of the band chant a haunting melody before returning to the",00:05:50,Barnhouse,,Concert Band,3.5,False,BAR012325000,,,For the Fallen,https://www.musicshopeurope.fr/for-the-fallen-bar012325000?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
,2002,,,,James Swearingen,"Opening with a fanfare based on “Joy To The World” featuring prominent bells and chimes, Swearingen then seques into an expressive, “classical” setting of Beethoven’s famous “Ode to Joy”. After a tasty modulation into a new setting of “Ode to Joy” with modern harmonies and tone colors, the final section presents a traditional rendition of “Joy to the World”. Concludes with a “classically” based presto! Exceptional!",00:02:59,Barnhouse,,Concert Band,3.0,False,BAR012323600,,,The Sounds of Christmas Joy,https://www.musicshopeurope.fr/the-sounds-of-christmas-joy-bar012323600?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
,,,,,James Swearingen,Dynamic and vibrant James Swearingen composition for mid-level bands that features spirited “gigue” like melodies which produce a vigorous energy that’s guaranteed to be enjoyed by students and audiences everywhere. The bright sections are contrasted by a lush and expressive slower section that’s full of the flowing melodic lines which have made this composer’s music so popular. Lots of tasty writing for the,,Barnhouse,,Concert Band,3.0,False,BAR012323500,,,In Times Of Triumph,https://www.musicshopeurope.fr/in-times-of-triumph-bar012323500?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
,2002,,,,Steven Reineke,"Une composition vraiment exceptionnelle qui s’établira sans doute comme morceau de référence du répertoire d'orchestre d'harmonie. Expérimentale, innovante et un vrai défi musical.",00:10:06,Barnhouse,,Concert Band,4.0,False,BAR012322700,,,Pilatus: Mountain of Dragons,https://www.musicshopeurope.fr/pilatus-mountain-of-dragons-bar012322700?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d32525
