ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,,,,Tinturier,,00:02:29,Difem Publisher,,Orchestre d'Harmonie,3.0,True,DIF93245,,,Big Blues,https://www.musicshopeurope.fr/big-blues-dif93245?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
,,,,,Edwards,,00:02:24,Difem Publisher,,Orchestre d'Harmonie,2.5,True,DIF94744,,,Hope,https://www.musicshopeurope.fr/hope-dif94744?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
,,,,,Tinturier,,00:03:05,Difem Publisher,Hymnes et chorals,Orchestre d'Harmonie,3.0,True,DIF94743,,,A Touch of Gospel,https://www.musicshopeurope.fr/a-touch-of-gospel-dif94743?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
,,Edwards,,,,,00:04:16,Difem Publisher,,Orchestre d'Harmonie,3.0,True,DIF94742,,Traditionnel,Super Swing,https://www.musicshopeurope.fr/super-swing-dif94742?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
,,,,,Tinturier,,00:02:29,Difem Publisher,,Orchestre d'Harmonie,3.0,True,DIF94741,,,Big Blues,https://www.musicshopeurope.fr/big-blues-dif94741?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
,,,,,Tinturier,,00:01:59,Difem Publisher,,Orchestre d'Harmonie,3.0,True,DIF94740,,,Indicatif,https://www.musicshopeurope.fr/indicatif-dif94740?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
,,,,,André Besançon,,,Difem Publisher,Marche,Orchestre d'Harmonie,2.0,True,DIF9428,,,La 10ème Cloche (Formation B),https://www.musicshopeurope.fr/la-10%c3%a8me-cloche-formation-b-dif9428?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
,,,,,André Besançon,,,Difem Publisher,Marche,Orchestre d'Harmonie,3.0,True,DIF9427,,,La 10ème Cloche (Formation A),https://www.musicshopeurope.fr/la-10%c3%a8me-cloche-formation-a-dif9427?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
,,Edwards,,,,,00:04:16,Difem Publisher,,Orchestre d'Harmonie,3.0,True,DIF94129,,Traditionnel,Super Swing,https://www.musicshopeurope.fr/super-swing-dif94129?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
,,,,,Edwards,,00:03:09,Difem Publisher,Œuvre solo et Orchestre,Orchestre d'Harmonie,3.0,True,DIF94127,,,"Rialto, Alto Sax Solo",https://www.musicshopeurope.fr/rialto-alto-sax-solo-dif94127?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d15025
