ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,Alphons Dreissen,,,Siegfried Translateur,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE231410,,,Wiener Praterleben,https://www.musicshopeurope.fr/wiener-praterleben-tie231410?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
,,,,,Philip A. Parker,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE238300,,,Deutschmeister-Regimentsmarsch,https://www.musicshopeurope.fr/deutschmeister-regimentsmarsch-tie238300?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
,,Philip A. Parker,,,Philip A. Parker,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE238240,,,Och Was Ik Maar Bij Moeder Thuis Gebleven,https://www.musicshopeurope.fr/och-was-ik-maar-bij-moeder-thuis-gebleven-tie238240?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
,,Philip A. Parker,,,Philip A. Parker,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE238200,,,En Van Je Hoempa,https://www.musicshopeurope.fr/en-van-je-hoempa-tie238200?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
,,Philip A. Parker,,,,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE238140,,,Wereldcup,https://www.musicshopeurope.fr/wereldcup-tie238140?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
,,,,,Philip A. Parker,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE238120,,,Grote Parade,https://www.musicshopeurope.fr/grote-parade-tie238120?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
,,,,,Philip A. Parker,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE238100,,,Atlantic Mars,https://www.musicshopeurope.fr/atlantic-mars-tie238100?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
,,Philip A. Parker,,,,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE236440,,,Yellow Rose Of Texas,https://www.musicshopeurope.fr/yellow-rose-of-texas-tie236440?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
,,Philip A. Parker,,,,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE236400,,,Maple Leaf March,https://www.musicshopeurope.fr/maple-leaf-march-tie236400?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
,,,,,Philip A. Parker,,,Tierolff Muziekcentrale,,Orchestre d'Harmonie,,True,TIE236360,,,Here They Come / Greeting March,https://www.musicshopeurope.fr/here-they-come-3-greeting-march-tie236360?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d30025
