ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
9790231036374,,,,, Sarrio-Nadal,,04:00:00,Robert Martin,,Orchestre d'Harmonie,3.0,True,RMSARR03637BA,,,Ambaixadora Contrabandistas,https://www.musicshopeurope.fr/ambaixadora-contrabandistas-rmsarr03637ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
,,,,,Vincent Scotto,,,Robert Martin,,Concert Band/Harmonie and Drumfanfare,1.0,True,RMSCOT00855BA,Caroline,,Caroline,https://www.musicshopeurope.fr/caroline-rmscot00855ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
,,,,,Vincent Scotto,,,Robert Martin,,Orchestre d'Harmonie,2.0,True,RMSCOT00847BA,,,Violettes Imperiales,https://www.musicshopeurope.fr/violettes-imperiales-rmscot00847ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
9790231007220,,Laurent Delbecq,,,Vincent Scotto,,,Robert Martin,,Orchestre d'Harmonie,2.0,True,RMSCOT00722BA,,,Surprise Party Chez Vincent Scotto,https://www.musicshopeurope.fr/surprise-party-chez-vincent-scotto-rmscot00722ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
,,,,,"Ham,J. Eilenberg",,00:03:55,Robert Martin,Marche,Orchestre d'Harmonie,2.5,True,RMSCHU04393BA,,,Marche Militaire,https://www.musicshopeurope.fr/marche-militaire-rmschu04393ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
,,Pierre Faure,,,Franz Schubert,,,Robert Martin,,Concert Band,1.0,True,RMSCHU04364BA,,,Moment Musical,https://www.musicshopeurope.fr/moment-musical-rmschu04364ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
9790231042115,,Pierre Faure,,,Franz Schubert,,04:55:00,Robert Martin,,Orchestre d'Harmonie,3.0,True,RMSCHU04211BA,,,Three Little Pieces Trois Petites Pièces,https://www.musicshopeurope.fr/three-little-pieces-trois-petites-pi%c3%a8ces-rmschu04211ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
9790231041217,,Michel Sorlin,,,Franz Schubert,,03:50:00,Robert Martin,Classique,Orchestre d'Harmonie,2.0,True,RMSCHU04121BA,,,Moment Musical N°3,https://www.musicshopeurope.fr/moment-musical-n-3-rmschu04121ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
,,,,,Franz Schubert,,00:01:14,Robert Martin,,Orchestre d'Harmonie,1.0,True,RMSCHU03966BA,,,Truite,https://www.musicshopeurope.fr/truite-rmschu03966ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
9790231028065,,Michel Moisseron,,,Franz Schubert,,,Robert Martin,Classique,Orchestre d'Harmonie,3.0,True,RMSCHU02806BA,,,La Truite,https://www.musicshopeurope.fr/la-truite-rmschu02806ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
9790231007947,, Schepper,,,Franz Schubert,,,Robert Martin,Classique,Orchestre d'Harmonie,,True,RMSCHU00794BA,,,Ouverture De Rosamunde,https://www.musicshopeurope.fr/ouverture-de-rosamunde-rmschu00794ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
,,,,,Franz Schubert,,,Robert Martin,,Concert Band/Harmonie and Saxophone Solo,2.0,True,RMSCHU00514BA,,,"Grand-Messe Classique, Ave Maria, Saxophone Solo",https://www.musicshopeurope.fr/grand-messe-classique-ave-maria-saxophone-solo-rmschu00514ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
9790231002430,,Fernand Andrieu,,,Robert Schumann,,,Robert Martin,Classique,Orchestre d'Harmonie,2.0,True,RMSCHU00243BA,,,Le Rhin,https://www.musicshopeurope.fr/le-rhin-rmschu00243ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
,,,,,Robert Schumann,,,Robert Martin,Classique,Concert Band/Harmonie and Saxophone Solo,1.0,True,RMSCHU00242BA,,,"Celebre Rêverie, Saxophone Alto Solo",https://www.musicshopeurope.fr/celebre-r%c3%aaverie-saxophone-alto-solo-rmschu00242ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
,,,,,Franz Schubert,,,Robert Martin,Classique,Orchestre d'Harmonie,5.0,True,RMSCHU00238BA,,,"Symphonie Inachevee, Andante Con Moto",https://www.musicshopeurope.fr/symphonie-inachevee-andante-con-moto-rmschu00238ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
9790231002362,, Fernand,,,Franz Schubert,,,Robert Martin,Classique,Orchestre d'Harmonie,5.0,True,RMSCHU00236BA,,,Symphonie Inachevée,https://www.musicshopeurope.fr/symphonie-inachev%c3%a9e-rmschu00236ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
9790231002355,,Fernand Andrieu,,,Franz Schubert,,,Robert Martin,Classique,Orchestre d'Harmonie,2.0,True,RMSCHU00235BA,,,Sérénade,https://www.musicshopeurope.fr/s%c3%a9r%c3%a9nade-rmschu00235ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27525
9790231028546,,,,,Anders Soldh,,,Robert Martin,,Orchestre d'Harmonie,1.0,True,RMSOLD02854BA,,,Héroïque,https://www.musicshopeurope.fr/h%c3%a9ro%c3%afque-rmsold02854ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27550
9790231029352,,,,,Renato Soglia,,,Robert Martin,,Orchestre d'Harmonie,3.0,True,RMSOGL02935BA,,,Strade Aperte,https://www.musicshopeurope.fr/strade-aperte-rmsogl02935ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27550
9790231028270,,,,,Renato Soglia,,,Robert Martin,,Orchestre d'Harmonie,2.0,True,RMSOGL02827BA,,,Barbara,https://www.musicshopeurope.fr/barbara-rmsogl02827ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27550
9790231028072,,,,,Renato Soglia,,,Robert Martin,,Orchestre d'Harmonie,1.0,True,RMSOGL02807BA,,,Grinta,https://www.musicshopeurope.fr/grinta-rmsogl02807ba?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d27550
