ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,Jiri Kadlec,,,James Horner,,00:07:45,Editions Marc Reift,,Concert Band,4.0,True,EMR12094,,,The Land Before Time,https://www.musicshopeurope.fr/the-land-before-time-emr12094?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
,,Kabat,,,Basil Poledouris,,,Editions Marc Reift,,Concert Band,4.0,True,EMR12131,,,Robocop 3,https://www.musicshopeurope.fr/robocop-3-emr12131?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
,,Jiri Kadlec,,,Hans Zimmer,,00:05:44,Editions Marc Reift,,Concert Band,4.0,True,EMR12130,,,Backdraft,https://www.musicshopeurope.fr/backdraft-emr12130?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
,,,,,Dennis Armitage,,,Editions Marc Reift,,Orchestre d'Harmonie,3.0,True,EMR1213,,,Let's all Take it Easy (Dixieland),https://www.musicshopeurope.fr/let-s-all-take-it-easy-dixieland-emr1213?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
,,John Glenesk Mortimer,,,Richard Wagner,,,Editions Marc Reift,,Concert Band,3.0,True,EMR12129,,,Three Fanfares,https://www.musicshopeurope.fr/three-fanfares-emr12129?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
,,Jiri Kabat,,,Nino Rota,,00:04:27,Editions Marc Reift,,Concert Band,4.0,True,EMR12128,Purple Noon/Delitto in pieno Sole,,Plein Soleil,https://www.musicshopeurope.fr/plein-soleil-emr12128?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
,,Jiri Kadlec,,,James Newton Howard,,00:06:12,Editions Marc Reift,,Concert Band,4.0,True,EMR12127,,,I Am Legend,https://www.musicshopeurope.fr/i-am-legend-emr12127?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
,,Bertrand Moren,,,John Philip Sousa,,,Editions Marc Reift,,Concert Band,3.0,True,EMR12122,,,Nobles Of The Mystic Shrine,https://www.musicshopeurope.fr/nobles-of-the-mystic-shrine-emr12122?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
,,Bertrand Moren,,,John Philip Sousa,,,Editions Marc Reift,Marche,Concert Band,3.0,True,EMR12120,March Format,,Golden Jubilee,https://www.musicshopeurope.fr/golden-jubilee-emr12120?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
,,Kabat,,,Joseph Loduca,,,Editions Marc Reift,,Concert Band,4.0,True,EMR12118,Vengeance,,Spartacus,https://www.musicshopeurope.fr/spartacus-emr12118?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d17525
