ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,2025,,,MusicWorks Grade 2,Ayatey Shabazz,Take an exciting trip to a futuristic city in the clouds! Liftoff with a bold introduction full of open harmonies and fanfare brass before experiencing the bustling metropolis with long melodic lines over driving rhythms and tension filled suspensions. Well scored triplets and simple 16th note figures are effective yet highly accessible to young players. All sections enjoy fun and engaging parts. A great cinematic,,Hal Leonard,,Concert Band,2.0,,HL04009366,,Concert,The Skyborn Metropolis,https://www.musicshopeurope.fr/the-skyborn-metropolis-hl04009366?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2023,,,Activist Music,Alex Shapiro,"Masked by Alex Shapiro is composed in the exact shape of a Classical Minuet and Trio waltz, though the music--a whimsical if somewhat demented masked ball (or, balls, in this case)--bears little connection to that of Mozart or Haydn. Historically, third movement Minuets gave way to the joke-like Scherzo, and the Trio section tips its hat to some welcome levity. This is one of four movements in Suspended, a piece is",,Activist Music,Pièce de concert,Concert Band,5.0,False,HL04007248,Movement 3 from Suspended for Symphonic Band and Pre-recorded Soundscape,Concert,Masked,https://www.musicshopeurope.fr/masked-hl04007248?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035257852,2025,,,Concert and Contest Collection CBHA,Thierry Deleruyelle,"Le 22 janvier 1963, la signature du traité de l’Élysée entre la France et l’Allemagne a marqué le début d'une solide relation de coopération et d'amitié, concrétisant la réconciliation de deux peuples après des décennies de conflits.  Alliance Day   célèbre ce traité en utilisant les hymnes nationaux français et allemand comme matériaux de composition. Emblèmes de chaque nation, ils sont transformés tout au long de",00:14:30,De Haske Publications,Pièce de concert,Orchestre d'Harmonie,5.0,True,DHP 1256551-010,,,Alliance Day,https://www.musicshopeurope.fr/alliance-day-dhp%201256551--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035257708,2025,,,Mitropa Concertwork Series,Thomas Doss,"Dans plusieurs classements internationaux, Vienne a été déclarée « ville la plus agréable au monde ». Cela a suffit pour que le compositeur intitule cette œuvre  Elysium  – un lieu qui, selon la mythologie grecque, est « la demeure des bienheureux » – et envoie à l'auditeur une sélection de sept cartes postales musicales de cette belle métropole sous la forme de sept mouvements interprétés sans interruption. Débutant",00:10:15,Mitropa Music,Pièce de concert,Orchestre d'Harmonie,4.0,True,2256-25-010 M,Postcards from Vienna,,Elysium,https://www.musicshopeurope.fr/elysium-2256--25--010%20m?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
